	cause	effect
41	['asean', 'nations', 'approved', 'framework', 'coc']	['china', 'proposed', 'step', 'vision', 'step', 'consultations', 'code', 'conduct', 'coc', 'south', 'china', 'sea']
42	['meeting', 'wang', 'develop', 'ties']	['beijing', 'manila', 'seek', 'exploration', 'resources', 'benefit', 'people', 'nations']
43	['government', 'guaranteed', 'missiles', 'yemen', 'not', 'buy']	['ship', 'released']
44	['losing', 'war']	['china', 'forced', 'cede', 'taiwan', 'japan', 'humiliating', 'treaty', 'shimonoseki']
45	['president', 'rodrigo', 'duterte', 'visit', 'china']	['philippines', 'arbitration', 'case', 'china', 'resolved']
46	['creation', 'gulf', 'pearl', 'chain']	['real', 'multilateral', 'success', 'come']
47	['aimed', 'furthering', 'interests']	['trump', 'administration', 'trans', '-', 'pacific', 'partnership', 'agreement', 'policy', 'agenda']
48	['state', 'visit', 'october', 'improved', 'china', 'ties']	['president', 'rodrigo', 'duterte', 'expected', 'visit', 'china', 'attend', 'summit']
49	['diplomat', 'refused', 'china', 'proposal', 'ruling', 'arbitration', 'case', 'concerning', 'south', 'china', 'sea']	['beijing', 'urged', 'manila', 'walk', 'path']
50	['arbitration', 'ruling', 'announced']	['beijing', 'issued', 'statements']
51	['trump', 'administration', 'threats', 'maritime', 'disputes', 'china']	['beijing', 'says', 'protect', 'territory']
52	['border', 'standoff', 'donglang', 'doklam', 'year']	['central', 'china', 'hubei', 'province', 'signaled', 'warming', 'relations']
53	['washington', 'miscalculations', 'china', 'attempt', 'defend', 'waters']	['actions', 'warships', 'taken', 'south', 'china', 'sea']
54	['flaring', 'tensions', 'south', 'china', 'sea', 'disputes']	['relations', 'suffered', 'setback']
55	['efforts', 'china', 'countries']	['situation', 'south', 'china', 'sea', 'stabilized', 'cooled']
56	['sanctions']	['defence', 'relations', 'china', 'iran', 'dates', 'co', '-', 'operation', 'saw', 'downfall']
57	['complaints', 'trade', 'deficits', 'china']	['showdown', 'economies']
58	['crimea', 'crisis']	['willingness', 'reset', 'relations', 'russia', 'resulted', 'relations', 'washington', 'moscow', 'worsened']
59	['friction', 'nations', 'region']	['east', 'asia', 'integration', 'weakening']
60	['majority', 'singaporeans', 'origin']	['china', 'singapore', 'relations', 'resilient']
61	['terror', 'attacks', 'south', 'china', 'sea', 'disputes']	['france', 'philippines', 'losing', 'attraction']
