	cause	effect
15	medical_practitioner,enforcement,say-37.7-1,aspect,bring-11.3	philippines,china,record,mediation,activity,Cheng,PCA,mediation,power,happening,philippines,maneuver
16	time_period,property,formation,curiosity,china,United,administrative_district,say-37.7-1,chinese	document,united_states,region,time_period
17	time_period,property,inquire-37.1.2,United,administrative_district,leave-51.2,communicable_disease,military_action,attitude,adopt-93,cognition,china,military_action,improvement,say-37.7-1	document,time_period
18	time_period,characterize-29.2-1,neglect-75-1-1,influence,china,concede,property,detail,content,washington,admire-31.2,mix-22.1-2,may,build-26.1-1,adopt-93	playing_card,management,improvement,china,plan_of_action
19	concept,build-26.1-1,time_period,philippines,inquire-37.1.2,association,periodic_event,judgment,say-37.7-1	
20	convert-26.6.2,water_sport,invade,china,region,let,run-51.3.2	wit,vietnam,Philippinesno,water_sport,body_of_water
21	pocket-9.10,run-51.3.2,chinese,say-37.7-1,want-32.1,contend,get-13.5.1	enlisted_person
22	grant,assertion,real_property,property,natural_object,title,linear_unit,say-37.7-1,china,newspaper,e,-,mail,conference,future_having-13.3,begin-55.1-1	act,time
23	political_unit	cambodia
24	occurrence-48.3,south,china,body_of_water,rational_motive,administrative_district,relation	
25	region,group_action,china,philippines,compass_point,asia	relation,BRI
26	north_korea,person,bring-11.3,register-54.1,implement,<empty>,implement	United,political_unit,safety,administrative_unit,approval,approval,outgo,china
27	north_korea,group,political_system,korea,person,bring-11.3,register-54.1,implement,<empty>,implement	United,political_unit,safety,administrative_unit,approval,approval,outgo,china
28	gathering,keep-15.2,say-37.7-1	meeting,time_period,Liu,communicator
29	derivative_instrument,bring-11.3	military_action,aggression
30	time_unit,gathering,mix-22.1-2,gathering,keep-15.2,appoint-29.1,discourse,pull_off,appoint-29.1	order,steadiness,location,region,property,prevent,happening,body_of_water,talk,group_action,content,enhance,property,certainty,message,content
31	japan,neighboring,political_unit,abstraction,japan	colonize,happening,time_period,japan
32	promotion,disagreement,south,china,body_of_water,escalate,forbid-67,pull_off	high_status,location,delaware,strain,discovery,property,situation
33	military_action,plan_of_action,plan_of_action,quality	political_unit,affectedness,danger,political_unit
34	Duterte,speech_act,policymaker,merchandise,message,group_action,conjecture-29.5-1,philippines,curve,west	time_unit
35	time_unit,activity,Yongxing,land,Sansha,Hainan,administrative_district	skilled_worker,instrumentality,drawback
36	bring-11.3,place_of_business	propose,content,safety,jewel,china,nonfiction
37	gathering,chemical_process,<empty>,horizontal_surface,certainty,structure,maneuver,appoint-29.1,maritime,group_action,maritime,safety	information,merchandise,content
38	corporate_executive,Rodrigo,Duterte,meeting,china,engender-27,decide	line,time_period,philippines,mediation,happening,china
39	united_states,vote,decide,happening,time_period,effort	gathering,united_states,skilled_worker,plan,gregorian_calendar_month,postpone,gregorian_calendar_month
40	commerce,military_action,maneuver,policy,plan_of_action,future_having-13.3,exist-47.1-1	challenge,quality,emergence,quality,natural_object,command,concept
41	harmony,harkat-ul-mujahidin,china,wish-62,admire-31.2,gathering,future_having-13.3,help-72-1,political_unit,pull_off,quality,appoint-29.1,maritime,group_action,decide	disagreement,create,condition,enhance,neckwear,group_action,region
42	india,china,india,person	harmony,OECD,fundamental_quantity,association,organic_process,magnitude_relation,work,asia
43	gathering,talk,organization,chemical_phenomenon,orientation,content,interest,characterize-29.2-1,conceptualization,code,content,property	harmony,message,content
44	china,establish,talk,relation,association,possibility,group_action	time_period
45		body,chemical_process,word,china,negotiator
46	create-26.4,pocket-9.10	reciprocality,gathering,assets,curiosity,contestant,commerce,military_action
47	keep-15.2,fit-54.3,transfer_mesg-37.1.1	strain,united_states,curiosity,activity,being,location,relation,rebalancing,asia,pacific,plan_of_action
48	pocket-9.10,pocket-9.10,achieve	improvement,steadiness,endow,activity,political_unit,location
49	consider-29.9-2	Sirivudh,inflammation,asian,association,group_action,order,presiding_officer,armored_vehicle,committee,administrator
50		political_unit,person,athletic_contest,line,G20,Summit,hangzhou,affirming,ambition,heating,neckwear
51		content,south,china,body_of_water,disagreement,telephone,act,cooperation,financial_condition,importing,terror
52	suit,future_having-13.3	set,curiosity,interest,relation,political_unit,political_unit,neckwear
53	assembly,Hague,concept,kindness,philippines,disagreement,china,south,china,body_of_water,gregorian_calendar_month,consider-29.9-2,<empty>	curiosity,cardinal_compass_point,asia,degree,gathering,laos,happening,percussion_instrument,china,feeling
54	assembly,Hague,announce,grant,escalate	military_action,language_unit,state,curve,power
55	assume,world_organization,safety,administrative_unit,tenure,time_period,amuse-31.1,internationalize	japan,south,china,body_of_water,content,natural_object,natural_object
56	china,motorboat,improvement,space,time_period,equip-13.4.2,build-26.1-1	amount,undertaking,political_unit,activity,aid,organic_process,activity,group
57	Donald,playing_card,swear,corporate_executive,United,administrative_district,gregorian_calendar_month,future_having-13.3,contiguous_location-47.8	plan_of_action,situation,management,processing,state,asia,pacific,location
58	Donald,playing_card,victory,united_states,vote,peer-30.3	commerce,military_action,natural_object,system
59	gathering,beijing,future_having-13.3,meet-36.3-1	richardson,Qingdao,Shandong,administrative_district,military_service,submersible,secondary_school,journey,china,craft,traveler,Liaoning
60	time_period,discomfort,abstraction,meet-36.3-1	temporal_arrangement,alone－before,lee,idea,United,administrative_district,politician,organization,china,congress－has,bestow,lee,meeting,symbol,linguistic_process,singapore,deposit,recalibrate,navigational_instrument
61	pay-68,meeting,military_vehicle,enclosure,town,Davao,municipality	corporate_executive,Rodrigo,Duterte,content,activity,effort,china
62	corporate_executive,Obama,meeting,beijing,G20,Hangzhou,degree,other_cos-45.4,conjecture-29.5-2	political_unit,act,bodily_property,property,disperse,cognitive_state,improvement,neckwear
63	communication,pull_off,keep-15.2,involve	china,organization,conversation
64	head,Albright,legal_document	U.
65	head,powell,meet-36.3-1,confine-92-1	china,diplomat,north,korea,season,consult,expectation,conversation
66	force-59-1,Peng,marvel-31.3-8,say-37.7-1	
67	extremity,communicable_disease,military_action,conspire-71,appoint-29.1	china,overcoming,hindrance,united_states,gathering,maintaining,order,natural_object,system,preventing,weapon,growth,conflict,environmental_condition,happening,protecting,safety,maintaining,body_of_water,commerce
68	extremity,communicable_disease,military_action,other_cos-45.4,amuse-31.1,convert-26.6.2-1,forbid-67	united_states,grasping,japan,japan,china,military_unit,command,tokyo,become,consciousness
69	extremity,natural_object,military_action	china,recover,summary,effort,self-government,Nanhai,Zhudao,invade,occupy,japan,military_action,unfriendliness,china
70	extremity,natural_object,military_action	china,recover,summary,effort,self-government,Nanhai,Zhudao
71	say-37.7-1,improvement,admit-65	instrumentality,assembly,PLA,force,assembly,property,assembly,force,assembly,cardinal_compass_point,battle,topographic_point,PLA,force,assembly,south,battle,topographic_point,PLA,force,assembly,north,battle,topographic_point,PLA
72	language,asian,peace,statement,exist-47.1-1,other_cos-45.4	asian,land,north,ROK,south,north_korea
73	south,china,body_of_water,mediation,happening,record,philippines	chemical_phenomenon,region,inaction,Duterte,meeting,china
74	degree,future_having-13.3,meet-36.3-1,future_having-13.3,attend	laos,meeting,political_unit,united_states,corporate_executive,united_states,association,degree,cardinal_compass_point,asia,degree,rotation,journey
75	conversation,appoint-29.1	external_body_part,administrative_district,perceiver,language,group_action,idea,loop,way,drive,group_action,writing
76	Tansgrid,comedy	australia,decision_making,association,speech_act,acquisition,grassland,time_period
77	operation,nice,weekday,say-37.7-1,must,populate,become	ordering,operation,radical,political_unit,number,clergyman,Manuel,Valls,france,terror,danger,political_unit,Islamic,administrative_district,abstraction,lose,object,area,cardinal_compass_point,motivation,advocate,europe,operation
78	assembly,merchandise,telephone,grant	polity,content,message,china,soldier,self-government,Maritime,abstraction,curiosity,south,china,body_of_water,Foreign,priesthood,content,message,grant
79	gathering	political_unit,clue,statement,aid,group_action,tract,act,capability,structure,activity,commerce,environmental_condition,happening
80	playing_card,bring-11.3,place_of_business	united_states,activity,action
81	playing_card,situation,status,china,plan_of_action	united_states,skilled_worker,intellectual,taiwan,criticize,playing_card,content
82	time_period,entrance,land,ridge	illustration,entertainment,vietnam,indefinite_quantity,rate,standard,real_property,restoration,occupy,land,ridge,bodily_property,amount,artifact,south,china,body_of_water
83	playing_card,beginning,communication,say-37.7-1,rational_motive,exist-47.1-1,person,building	scenery,document,terse,content,time_period
84	state,steering,content,binary_compound	
85	china,association,Foreign,clergyman,gathering,better,admire-31.2,say-37.7-1	region,acknowledge,force,state,south,china,body_of_water,demonstrating,mail,support,hypothesis,COC,song,relation,conference,Wang,communicator
86	cause,maintaining,maritime,safety,<empty>,appoint-29.1,give-13.1-1	activity,drive,activity
87	proclaim,grant,lawfulness,importance,build-26.1-1,unwrap,consume-66-1	paper,medium_of_exchange,mediation,happening
88	political_unit,convert-26.6.2,structure,gathering,assets,curiosity,globalization,-,polarity,social_organization,future_having-13.3,become,direction,necessitate,exchange-13.6	united_states,negative_stimulus,beijing,agreement,washington,agreement
89	polity,pocket-9.10,consume-66,safety,vote,speech_act,SGCC,speech_act,Transgrid,administrative_district,gregorian_calendar_month,pocket-9.10,appeal-31.4-3,cope-83-1-1	institution,decision,time_period,leasing,Ausgrid
90	activity,body_of_water,jewel,series,future_having-13.3,mix-22.1-2-1,political_unit,system,way,line,lipid,tube,formation,relation,china,CPEC,future_having-13.3,appear-48.1.1	carefullyit,statement,atmospheric_phenomenon,friendshence,happening
91	ukraine,situation,become,questioning,future_having-13.3,focus-87	expectation,group_action,china,United,administrative_district,china,united_states,relation,business_relation,group_action,washington,moscow
92	happening,china,japan,disagreement,land,cardinal_compass_point,china,body_of_water,covering,gas,military_action,determination,topographic_point,<empty>,involve	group_action,united_states,japan,state
93	goal,furthering,curiosity,judgement-33,may,put-9.1-2	united_states,legislature,Trans,-,Pacific,business,statement,playing_card,management,plan_of_action,plan,editing
94	day,time_period,become,component,curiosity,word,appear-48.1.1,commercial_enterprise,group,group,relation,sound_property,scholar,scholar,investigation,message	
95	amuse-31.1,pocket-9.10,keep-15.2,quality,disagreement,united_states,power	
96	gas,influence,heavier-than-air_craft,accomplishment,Miyako,channel,japan,mix-22.1-2,development,strive,neckwear	scrambling,person,airplane
97	hypothesis,written_communication,activity,time_period	china,association,political_unit,grasping,conference,matter,written_communication,activity,binary_compound,time_unit
98	organization,creating_by_mental_acts,want-32.1,future_having-13.3,consume-66	association,certainty,china,united_states,agent,group_action
99	mistake,appraisal,quality,force-59-1,hole,association,associate,china,build-26.1-1,peer-30.3,amuse-31.1,steal-10.5,confront	digit,message
100	social_control,work,capability	applicant,Ausgrid
101	peer-30.3	delay,content,energy,case,case,safety,situation
102	spain,colonize,time_period,U.,consider-29.9-2	philippines,rational_motive,time,tend,spain
103	ceremony,crane-40.3.2	water_travel,hair
104	person,adhere,belief,property,creating_from_raw_materials,improvement,time_period,build-26.1-1	
105	china,objection,butbecause	case
106	united_states,hotel,periodic_event,aggression,china,south,china,body_of_water,danger,become,hotbe,china,united_states,challenge,criticality,appear-48.1.1,united_states,action,indefinite_quantity,expectation,fight,political_unit,gas,influence,military_service,<empty>,convert-26.6.2	misjudgment,mishap
107	situation,lining,management,pocket-9.10,discover-84-1-1,<empty>	illustration,teaching,education,alleviating,financial_condition,philippines
108	activity,bodily_property,environment,power,may	challenge,group_action
109	opposition,china,position,cooperate-73-2,approve-77,mediation,recognizing,conformity,concept,<empty>,approve-77,negociate,future_having-13.3,meander-47.7	idea,china,mediation,judgment,stonewall
110	emotion,<empty>,uncover,fact,amuse-31.1,forbid-67	writer,united_states,military_service,mishap
111	neckwear,mediation,happening,originate,Duterte,precursor,Benigno,Aquino,digit	diplomat,corporate_executive,Rodrigo,Duterte,Ramos,define,journey,crystal,change_of_integrity
112	political_unit,choice,approve-77,implement,formation,UNCLOS,<empty>,admire-31.2,future_having-13.3	assembly,concept,contact,china
113	foundation,improvement,development,time_period,<empty>,care_for	political_unit,victory,situation,location
114	inquire-37.1.2,activity,bodily_property,china,say-37.7-1,run-51.3.2,let	proof,proceeding,united_states,legislature,weekday,Tillerson,Exxon,Mobil,presiding_officer,corporate_executive,china,right,land
115	association,clergyman,gathering,weekday,western_malayo-polynesian,Foreign,head,Perfecto,Yasay,say-37.7-1,south,china,body_of_water,content,assets,whole,abstraction,philippines,china,philippines,decide,concentration,representation,abstraction,china	information,meeting
116	appear-48.1.1,explosive_device,declare-29.4-1-1-2,become	princeton,activity,treatise,examining,plan_of_action,group,person,enzyme,Zedong,conversation
117	help-72-1,appoint-29.1,abstraction,activity,give-13.1-1,countenance,loop,way,drive	activity,property
118	weekday,playing_card,conversation,electronic_equipment,person,large_integer,provision,interest,lack,interaction,person,<empty>,regenerate,tape-22.4	strain,china,united_states
119	time_period,isolation,convert-26.6.2,give-13.1-1	liquid_body_substance,beijing,paper,point,belief,western_malayo-polynesian,corporate_executive,Rodrigo,Duterte,embark,crystal,change_of_integrity,journey,china,weekday
120	G7,summit,say-37.7-1,interfere,cardinal_compass_point,china,body_of_water,south,china,body_of_water,content,semblance,collection,Foreign,priesthood,advocate,metallic_element,Kang,rest_day	china,denounce,report,merchandise
121	administrative_district,meeting,gregorian_calendar_month,better,china,neckwear,correspond-36.1-1,pull_off,wish-62,meet-36.3-1,attend	beijing,paper,content,conference,western_malayo-polynesian,corporate_executive,Rodrigo,Duterte,china,degree
122	future_having-13.3,approve-77,let,implement	beijing,implement,position,acknowledge,assembly,concept
123	official,refuse,china,message,put-9.1-2,judgment,mediation,happening,interest,south,china,body_of_water	beijing,motivation,paper,locomotion,course
124	mediation,judgment,announce	beijing,content,message
125	concept,Hague	beijing,content,message
126	united_states,management,corporate_executive,Donald,playing_card,suggestion,<empty>,bring-11.3,position,south,china,body_of_water,future_having-13.3,defend-85,force-59-1,masquerade-29.6-1	beijing,region,playing_card,management,danger,maritime,disagreement,china,telephone,United,administrative_district,gregorian_calendar_month,detail,information,attentiveness
127	united_states,management,corporate_executive,Donald,playing_card,suggestion,<empty>,bring-11.3,position,south,china,body_of_water,future_having-13.3,defend-85,force-59-1,masquerade-29.6-1	beijing,region,playing_card,management,danger,maritime,disagreement,china,telephone,United,administrative_district,weekday,detail,information,attentiveness
128	exceed-90,mistreatment,quality,treatment,happening,power,<empty>,keep-15.2,put-9.1-2,approve-77,bring-11.3	beijing,sense_organ,political_unit,physical_phenomenon,assembly,judgment,maneuver,situation,assembly
129	Duterte,assume,place_of_business,gregorian_calendar_month,build-26.1-1,<empty>	beijing,abstraction,paper
130	separation,person,safety,administrative_unit,gregorian_calendar_month,authority,united_states,corporate_executive,ellipse,direction,past,discover-84-1-1,escape-51.1-1,stronghold	influence,formation,happening,washington
131	tape-22.4	evaluation,metallic_element,meeting,line
132	boundary,finish,Donglang,Doklam,time_period	number,clergyman,Narendra,Modi,degree,corporate_executive,large_integer,wuhan,workplace,china,Hubei,administrative_district,time_period,communication,temperature_change,abstraction
133	convert-26.6.2,accumulation,keep-15.2	japan,attention,china
134	gathering,pull_off,say-37.7-1	aid,property,deepen,group_action,power,quality,property,corporate_executive,large_integer,Jinping,united_states,person,safety,authority,Susan,grain,according,information,merchandise,content
135	conversation,person,correspond-36.1-1	region,meeting,corporate_executive,large_integer,brunei,value,development,abstraction,message,content
136	region,orientation,COC,future_having-13.3,process	
137	maneuvering,encouragement,quality,management,corporate_executive,Benigno,Aquino,digit,activity,implement,build-26.1-1,appear-48.1.1	
138	plan_of_action,political_unit,build-26.1-1,quality	china,vietnam,abstraction,external_body_part,situation,happening
139	craft,submersible,tube,influence,amalgamate-22.2-2	system_of_measurement,political_unit,military_service,china,property
140	mediation,china,may,admire-31.2,consciousness,military_action,keep-15.2,tube,disagreement,binary_compound,Gau,say-37.7-1,mix-22.1-2,let,philippines,tube,conceptualization,derivative_instrument,china,detail,concern,maintaining,state	
141	time_period,pocket-9.10,say-37.7-1	message,artwork,creativity,plot
142	region,<empty>,contend,asset,future_having-13.3	military_action,happening,region
143	gregorian_calendar_month,discussion,activity,Weibo,china,sound,microblogging,computer,array,curve,proportion,codefendant,consider-29.9-2,clinton,victory,discussion,proportion,say-37.7-1,playing_card,victory,discussion,harmony,investigation,document,david,monetary_unit,Wang,dynasty,Brookings	inquiry
144	activity,future_having-13.3,dispel,charge,china,legal_document,necessitate	maneuver
145	assembly,consume-66,judgment,happening,originate,philippines,china,south,china,body_of_water,disagreement,Foreign,clergyman,Julie,priest,say-37.7-1,fundamentals,broadcasting,china,honor,<empty>,admire-31.2,ignore,concept,telephone,beijing,paper,detail	time_unit
146	communicable_disease,military_action,attitude,hotel,maneuver,amalgamate-22.2-1,china,appear-48.1.1,convert-26.6.2	united_states,mistaken,china,steadiness,force,danger
147	want-32.1,washington,state,asia,admire-31.2,united_states,approve-77,china	Obama,fight,idea
148	china,table,maneuver,declare-29.4-1-1	mediation,comedy
149	judgment	object,assertion
150	independent_agency,meet-36.3-1,duty,united_kingdom,power,future_having-13.3,admire-31.2,exist-47.1-1	enlisted_person,commit,transgression,iraq,attempt,residence,independent_agency
151	political_orientation,property,admire-31.2,say-37.7-1,<empty>	china,legal_document
152	beijing,assertion,safeguarding,collection,basing,point,agreement,collection,relation	
153	escape-51.1-1,force,juvenile,bring-11.3,education,product,build-26.1-1,stop-55.4-1	concentration,juvenile,humaneness,being,emotion,state,attempt,athletic_contest
154	speech,appoint-29.1	indefinite_quantity,property,political_unit
155	united_states,corporate_executive,Donald,playing_card,judgement-33,confine-92-1,communication,playing_card,may,inherit,corporate_executive,Barack,Obama,asia,marcher,plan_of_action	Carl,vinson,steering,south,china,body_of_water,case
156	gathering,Wang,appear-48.1.1,tape-22.4,beijing,paper,movement,expedition,assets,payment,group,political_unit	Cayetano,information,meeting
157	neckwear,mediation,happening,south,china,body_of_water,disagreement,correspond-36.1-1	china,philippines,restart,administrative_unit,transaction,commerce,indefinite_quantity,commerce,political_unit
158	Brexit,legal_document,ill_health,china,set,curiosity,future_having-13.3,put-9.1-2,hand_tool,activity,correspond-36.1-1,research	china,united_kingdom,expectation,field_event,commerce,statement
159	tape-22.4,<empty>,exert,ferret-35.6	china,united_states,relation,control,property,limit,cooperation,south,china,body_of_water,content
160	china,assert,discrimination,quality,self-government,content	assembly,power,china,agreement,self-government
161	china,assert,discrimination,quality,self-government,content	assembly,power,china,agreement,self-government
162	philippines,say-37.7-1,group,aquatic_vertebrate,time_unit,indicate-78-1-1,let	china,weekday,skilled_worker,right,Huangyan,land,planning,military_installation,beijing,relationship,paper
163	concept,describe,grant,assembly,happening,south,china,body_of_water,approve-77,amuse-31.1,enforce-63	china,organization,body,mixture,influence,china,Foreign,priesthood,message,content,weekday
164	body_of_water,way,being,formation,china,political_unit,location	china,support,state,steering,south,china,body_of_water
165	equivalent,association,political_unit,judgement-33,hypothesis,COC,say-37.7-1	china,propose,maneuver,imagination,maneuver,conference,written_communication,activity,COC,south,china,body_of_water,Foreign,clergyman,Wang,loloish,rest_day
166	grant,announce,approve-77,confess-37.10	china,priesthood,message
167	work,grant,approve-77,confess-37.10	china,priesthood,message
168	United,administrative_district,United,sphere,proportion,organic_process	china,line,attract,enrollee
169	need,example,natural_object,refuse,cooperate-73-2,approve-77	china,category,mediation
170	corporate_executive,Rodrigo,Duterte,say-37.7-1,weekday,wish-62,conversation,china,south,china,body_of_water,disagreement,time_period,wish-62,keep-15.2	china,weekday,conversation,beijing,paper,day
171	corporate_executive,Rodrigo,Duterte,say-37.7-1,weekday,conversation,south,china,body_of_water,disagreement,time_period,wish-62,keep-15.2	china,weekday,conversation,beijing,paper,day
172	administrative_unit,inhabitant,organization,sound,metallic_element,acceptance,south,china,body_of_water,mediation,concept	china,motivation,inhabitant,organization,language_unit,act,south,china,body_of_water,content
173	situation,avoid-52,telephone,financial_gain,device,translation,system,hypothesis,propulsion,commodity,indebtedness,finance,hypothesis,propulsion,bodily_process,creation,moving,indefinite_quantity,series,convert-26.6.2	china,rebalancing
174	assumes,place_of_business,gregorian_calendar_month,become,may,undergo	china,united_states,abstraction,change_of_state,playing_card,plan,time_period
175	achieve,happening,inaction,change_of_location,appear-48.1.1,characterize-29.2-1-1,culminate	china,action,section,negotiation,reflect,china,slope,Carl,von,clausewitz,component,ending,point,military_action,attacking,influence
176	pacific,tool,January,13th	craft,traveler,Liaoning,legal_document,Qingdao,china
177	gathering,Foreign,clergyman,equivalent,association,associate,vientiane,laos,gregorian_calendar_month,attend	Foreign,clergyman,Wang,loloish,urgency,meeting
178	conversation,canberra,australia,gregorian_calendar_month,force-59-1	head_of_state,metallic_element,Keqiang,equivalent,Malcolm,Turnbull,urgency,meeting
179	disagreement,strain,amalgamate-22.2-2,land,future_having-13.3,put-9.1-2	skillfulness,influence,point,respond,danger,situation,location
180	Aquino,digit,plan_of_action,let,washington,activity,paper,brome,part,marcher,asia,plan_of_action,create,awareness,danger,philippines,amalgamate-22.2-2,<empty>	united_states,china,policy,-,interference,political_unit,concern,rational_motive,Duterte,position
181	Suzhou,Industrial,tract,tianjin,Eco,municipality,small_indefinite_quantity,drive-11.5,organic_process,china,appear-48.1.1,location,instrumentality,finance,information,property	group_action,hypothesis,drive,borne,reproductive_structure,chongqing,show,drive,Strategic,property,polity,polity,work
182	Suzhou,Industrial,tract,tianjin,Eco,municipality,small_indefinite_quantity,drive-11.5,organic_process,china,appear-48.1.1,location,instrumentality,finance,information,property	group_action,hypothesis,drive,borne,reproductive_structure,chongqing,show,drive,Strategic,property,polity,polity,work
183	representation,future_having-13.3	act
184	precursor,Benigno,Aquino,digit,worsen,neckwear,china	time_unit,journey,china,gregorian_calendar_month,Duterte,summary,paper,relation,beijing
185	assembly,Hague,concept,beijing,south,china,body_of_water,happening,bring,management,paper,evaluation,change_of_state,plan_of_action,civil_authority,bring-11.3,place_of_business,gregorian_calendar_month	Duterte,activity,engage,china,time_period
186	furniture,corporate_executive,Aquino,Benigno,digit,record,happening,assembly,south,china,body_of_water,bring-11.3	Duterte,place_of_business,gregorian_calendar_month,external_body_part,improvement,neckwear,beijing
187	merchandise,time_period,multitude,time_period,pause,marvel-31.3-8,calibratable_cos-45.6-1	skilled_worker,written_record,administrator,Feng,Xiaogang,product,juvenile,china,vietnam,military_action,appraisal
188	appear-48.1.1	system,china,organization,activity,respond,natural_object,confusion,change_of_location,united_states,europe
189	mediation,judgment,china,retain,belief,mixture,future_having-13.3,discussion	
190	canberra,get-13.5.1,region,washington,beijing,south,china,body_of_water,disagreement,appear-48.1.1,future_having-13.3,exist-47.1-1	Sino,australia,people,commerce,statement,phenomenon,time_period,discussion,phenomenon,time_period,finance,australia,content
191	status,property,pachyderm,activity,part,cord,build-26.1-1,<empty>,cooperate-73-3	military_action
192	room,russell,north,external_body_part,discipline,admit-65,discussion,canberra,duty,south,china,body_of_water,attempt,washington,position,content,admire-31.2,transfer_mesg-37.1.1,peer-30.3	statement,australia,commercial_enterprise,way,south,china,body_of_water,group_action,disagreement
193	future_having-13.3,help-72-1,appoint-29.1,property,certainty,pocket-9.10,characterize-29.2-1	exploring,transmission,payment,enhancing,group_action,kind,CBM
194	time_unit,gathering,Duterte,Marco,polo,building,philippines,say-37.7-1	"Fidel,Ramos,corporate_executive,guidance,political_unit,crisis""I,medical_practitioner,Makati,examination,area,computer,Ramos,Davao,municipality"
195	judgment,interest,self-government,content,content,self-government,extent,UNCLOS,United,political_unit,meeting,collection,body_of_water,assembly,judgment,power	
196	china,political_unit,society	china,emerging,quality
197	experiment,kind,rocket,gregorian_calendar_month	information,weekday,Democratic,group,political_system,korea,experiment,happening,rocket
198	occurrence-48.3	information,terror,operation
199	political_unit,sanction,area,china	information,sanction,use,european,political_system,municipality,increase,fivefold,gregorian_calendar_month,gregorian_calendar_month
200	time_period,interruption,future_having-13.3,contiguous_location-47.8-1	clergyman,political_unit,tokyo,weekday,time_period,chemical_process,summary,gregorian_calendar_month,time_period
201	united_states,evil,corporate_executive,electro-acoustic_transducer,fractional_monetary_unit,accuse,beijing,change_of_state,politic,say-37.7-1	Foreign,priesthood,weekday,washington,characterize,chemical_phenomenon,china,foreign_policy
202	united_states,management,corporate_executive,Donald,playing_card,suggestion,<empty>,bring-11.3,position,south,china,body_of_water,future_having-13.3,force-59-1,masquerade-29.6-1	Foreign,priesthood,discovery,protect,region,china,telephone,United,administrative_district,weekday,detail,information,attentiveness
203	natural_object,military_action,digit,exist-47.1-1,communicable_disease,military_action,time_period,united_states,coalition,carnivore,property,difference,snobbery	furnace
204	neckwear,mediation,happening,south,china,body_of_water,disagreement,say-37.7-1,peer-30.3	corporate_executive,Fidel,Ramos,weekday,person,beginning,communication
205	assembly,concept,kindness,paper,south,china,body_of_water,disagreement,beijing,time_period,admit-65	corporate_executive,Ramos,meeting,Hong,Kong,athletic_contest,person,official,Fu,Ying,beginning,quality,strain
206	Hague,assembly,judgment,disagreement,south,china,body_of_water,gregorian_calendar_month,force-59-1	corporate_executive,HK,meeting,evaluation,activity,sewing,change,relationsformer,western_malayo-polynesian,corporate_executive,Fidel,Ramos,motion,writer,journey,Hong,Kong,china
207	maneuver,convert-26.6.2,<empty>,create-26.4	north,korea,idea,metallic_element,carbon,state_of_matter,electrical_device,metric_weight_unit,avoirdupois_unit,instrument,gathering,chemical_element,time_period
208	political_unit,origin,ill_health,necessitate,bring-11.3	political_unit,attentiveness,china,military_action,maneuver
209	inquire-37.1.2,questioning,consider-29.9-2,fit-54.3	Goldstein,Friedberg,lawman,worker,safety,concern,place_of_business,vice,-,president,detective,Cheney
210	educational_institution,condition,china,person	Goldstein,beginning,activity,gregorian_calendar_month,time_unit,gregorian_calendar_month,operation,natural_object,commerce,area,New,dynasty,situation,activity,real_property,activity
211	north,korea,experiment,gregorian_calendar_month,china,power,north,korea,china,solve,difficulty,<empty>,build-26.1-1,exchange-13.6-1,china,say-37.7-1	
212	north,korea,experiment,gregorian_calendar_month,china,power,north,korea,china,solve,difficulty,<empty>,build-26.1-1,exchange-13.6-1,china,say-37.7-1	
