cause	effect
its national defense policy and strategy, not its military power.	A country poses a threat to other countries
they were often the first to be cut off when bilateral relations soured.	In the past, military exchanges were the vulnerable aspect of China-US relations,
the Shinzo Abe administration's refusal to face up squarely to history and its previous provocative actions.	It will definitely worsen relations between Beijing and Tokyo, which are already tense
it will destabilize the strategic balance in East Asia in favor of the United States.	Protests were organized after Lotte Group, a business conglomerate headquartered in South Korea, accepted a plot of land in exchange for its Skyhill Golf Course in Seongju where the US Terminal High Altitude Area Defense anti-missile system will be deployed, a move that China strongly opposes
the nation has never caused any harm to others.	There is no need for other countries to take caution against China's defense measures
Trump's unpredictability and the different opinions within the Cabinet	It remained to be seen whether Washington would follow up on Tillerson's proposal
there was a suspected breach of Hong Kong law	The Singaporean vehicles were impounded by customs on Nov 23
he is fully aware of the negative impact the US' strategic pivot to Asia	The reason that Duterte distanced his country from the US alliance is
the lack of resources and opportunities in our country.	Many Filipinos still suffer in poverty
"the Obama administration's ""rebalancing"" to the Asia-Pacific strategy and the deployment of THAAD, which makes them feel more secure"	Japan-ROK ties have indeed been improving not because of deepening mutual trust but
he doesn't want Washington's allies in Asia to believe the US has accepted China as an equal.	But Obama has been beating around the concept, possibly
a mighty military is a deterrence	A strong navy and a strong air force are crucial to safeguarding China's sovereignty in the South China Sea
the Trans-Pacific Partnership Agreement is aimed at furthering American interests.	The Trump administration may put it back on the policy agenda after revising the Trans-Pacific Partnership Agreement,
they have either helped create or provoked the maritime disputes in the waters themselves.	It only lays bare the hypocrisy of the US and its allies
China's longstanding territorial dispute with India and its spat with Japan over the Diaoyu Islands in the East China Sea.	They hope that an anti-China alliance could be forged between the world's second most populous nation and third-largest economy,
that can harm bilateral ties.	The last few months of the Obama administration should not be marked by heightened tensions between Beijing and Washington in the South China Sea,
a top White House advisor warned that Washington might revoke Hong Kong's special trading privileges if China enacts a tough new security law.	"Beijing has warned the US that it will take ""every necessary measure"" to protect its interests"
announcing at the weekend that the Paracel and Spratly islands, the Macclesfield Bank and their surrounding waters would be administered under two new districts of Sansha city, which China created on nearby Woody Island in 2012.	China angered Vietnam
it wanted the fish and sea turtles	Beijing was trying to seize Philippine seas
US President Donald Trump criticized Australian Prime Minister Malcolm Turnbull on the phone over a refugee resettlement agreement former US president Barack Obama had made between the two countries.	US-Australia relations becoming worse in February
then Australian Prime Minister Tony Abbott ignored a US warning in March 2015 and joined the Asian Infrastructure Investment Bank.	They expressed deep concern
Saudi Arabia's execution of a prominent Shiite cleric sparked attacks on two Saudi diplomatic posts in Iran, a move to show solidarity with the kingdom.	Qatar pulled its ambassador last year
ASEAN nations approved the framework of the COC.	China has proposed a three-step vision to step up consultations on the Code of Conduct (COC) in the South China Sea
meeting with Wang that to develop bilateral ties	Beijing and Manila have to seek joint exploration of natural resources to benefit the people of both nations.
the Yemeni government guaranteed that the missiles would only be used in Yemen and that it would not buy them again.	The ship was later released
losing the First Sino-Japanese War in 1895.	China was forced to cede Taiwan to Japan under the humiliating Treaty of Shimonoseki
Philippine President Rodrigo Duterte's visit to China.	Philippines' unilateral arbitration case against China, was peacefully resolved
creation of the Gulf-Pearl Chain	the real multilateral success will come
it is aimed at furthering American interests	Trump administration may put Trans-Pacific Partnership Agreement back on the policy agenda,
his state visit in October significantly improved China-Philippine ties.	Philippine President Rodrigo Duterte is expected to visit China again and attend an international summit,
the top Philippine diplomat refused China’s proposal to put aside the recent ruling in an arbitration case concerning the South China Sea	"Beijing has urged Manila to ""walk out of its wrong path"""
the arbitration ruling was announced.	Beijing issued two statements immediately
the Trump administration's threats over maritime disputes China	Beijing says it will protect its territory
the border standoff at Donglang Doklam last year.	, Central China's Hubei province signaled the warming up of Sino-Indian relations
Washington's miscalculations of what China has done in its attempt to defend its own territorial waters	he provocative actions US warships have repeatedly taken in the South China Sea
the flaring of regional tensions over the South China Sea disputes	Bilateral relations suffered a setback in 2016
the joint efforts of China and regional countries.	the situation in the South China Sea has been stabilized and cooled down
nuclear sanctions.	The military and defence relations between China and Iran dates to 1980’s but co-operation saw downfall
the US complaints about its trade deficits with China.	Possible showdown between the top two economies
Crimea crisis.	"His willingness to ""reset"" US relations with Russia has resulted in relations between Washington and Moscow have worsened"
friction among nations in the region.	East Asia integration is weakening
the majority of Singaporeans being of Chinese origin.	China-Singapore relations are resilient
terror attacks and the South China Sea disputes.	France and the Philippines are losing their attraction
