	cause	effect
56	China,launched,reform,opening,decades	numbers,enterprises,invested,country,helped,boost,growth,create,jobs,people
57	Donald,Trump,sworn,president,United,States,Jan	policy,challenge,administration,will,deal,developing,situation,Asia,Pacific,region
58	Donald,Trump,won,US,election	trade,war,world,economies,seemed
59	meetings,Beijing	Richardson,will,visit,Qingdao,Shandong,province,see,navy,submarine,academy,tour,China,aircraft,carrier,Liaoning
60	months,unease,relations	timing,alone－before,Lee,planned,visit,United,States,Communist,Party,China,congress－has,bestowed,Lee,visit,symbolism,reading,Singapore,repositioning,recalibrating,compass
61	paying,visit,warship,docked,hometown,Davao,City	President,Rodrigo,Duterte,said,idea,conducting,exercises,China
62	President,Obama,visit,Beijing,G20,Hangzhou,Summit	countries,strengthened,communication,built,trust,dispersed,doubts,ensuring,development,ties
63	persuasion	China,managed,keep,delegation,involved,talks
64	Secretary,Albright,returned	U.
65	Secretary,Powell,visit	China,sent,envoy,North,Korea,spring,consult,possibility,talks
66	speaking,Peng	reflected,said
67	end,Cold,war	China,done,overcoming,obstacles,cooperate,US,community,maintaining,peace,promoting,world,economy,preventing,WMD,proliferation,fighting,climate,change,protecting,security,maintaining,seas,trade
68	end,Cold,War	US,tightened,grip,Japan,tried,convince,Japan,see,China,enemy,order,stop,Tokyo,becoming,self
69	end,Second,World,War	China,recovered,resumed,exercise,sovereignty,Nanhai,Zhudao,invaded,occupied,Japan,war,aggression,China
70	end,Second,World,War	China,recovered,resumed,exercise,sovereignty,Nanhai,Zhudao
71	said,reform	system,courts,includes,PLA,Military,Court,level,court,Military,Court,East,Combat,Zone,PLA,Military,Court,South,Combat,Zone,PLA,Military,Court,North,Combat,Zone,PLA,No
72	signing,Korean,Armistice,Agreement	Korean,Peninsula,remained,divided,parallel,north,ROK,south,DPRK,north
73	South,China,Sea,arbitration,case,filed,Philippines	exchanges,areas,halted,Duterte,visit,China
74	summit	will,visit,Laos,visit,country,US,president,will,attend,US,ASEAN,Summit,East,Asia,Summit,winding,trip
75	talks	heads,state,witnessed,signing,cooperation,plan,promoting,Belt,Road,Initiative,cooperation,documents
76	Tansgrid,farce	Australia,rejected,consortiums,bid,purchase,pastures,year
77	attack,Nice,Thursday	series,attacks,extremists,country,Prime,Minister,Manuel,Valls,said,France,must,live,terrorism,become,threat,countries,Islamic,State,group,loses,ground,Middle,East,urges,supporters,Europe,attack
78	tribunal,released,called,award	government,issued,Statement,China,Territorial,Sovereignty,Maritime,Rights,Interests,South,China,Sea,Foreign,Ministry,issued,statement,award
79	meeting	countries,signed,agreements,boost,cooperation,fields,production,capacity,infrastructure,education,trade,climate,change
80	Trump,took,office	US,conducted,operations
81	Trump,challenge,standing,China,policy	US,officials,scholars,Taiwan,criticized,Trump,ignorance
82	years,encroachment,islands,reefs	figures,show,Vietnam,increased,pace,scale,land,reclamation,occupied,islands,reefs,built,number,facilities,South,China,Sea
83	Trump,inauguration,signal,suggests,reason,prevails,White,House	backdrop,letter,terse,issued,weeks
84	freedom,navigation,issue,waters	
85	China,ASEAN,Foreign,Ministers,Meeting	sides,acknowledged,momentum,improving,situation,South,China,Sea,demonstrating,expressed,approval,framework,COC,believe,laid,foundation,consultations,Wang,told,reporters
86	factors,maintaining,maritime,security	efforts,initiatives,should,encouraged,given,support
87	proclaims,award,legitimacy,significance	make,Manila,disclose,money,spent,arbitration,case
88	countries,start,building,community,shared,interests,globalization,-,polarity,pluralism,will,become,trend	US,need,worry,Beijing,consensus,replacing,Washington,consensus
89	government,can,use,security,veto,bid,done,SGCC,bid,Transgrid,state,November	companies,can,appeal,move,week,succeed,leasing,Ausgrid
90	creation,Gulf,Pearl,Chain,will,connect,countries,network,roads,railways,oil,pipe,line,part,China,CPEC	carefullyit,agreement,weather,friendshence,success,will,come
91	Ukraine,crisis,become,question	possibility,conflict,China,United,States,China,US,relationship,will,focus,competition,cooperation,Washington,Moscow
92	incident,China,Japan,disputed,islands,East,China,Sea,overlapping,Air,Defense,Identification,Zones,could	conflict,involves,US,Japan,ally
93	aimed,furthering,interests	US,Congress,approve,Trans,-,Pacific,Partnership,Agreement,Trump,administration,may,put,policy,agenda,revising
94	anniversary,year,become,points,interest,terms,developing,tourism,people,people,relationships,sound,historians,historians,researching,topic	
95	tries,can,keep,differences,disputes,US,control	
96	air,force,planes,passed,Miyako,Strait,Japan,added,twist,strained,ties	scrambling,fighter,jets
97	endorsing,framework,code,behavior,year	China,ASEAN,countries,held,consultation,text,Code,Conduct,waters,days
98	association,designs	ASEAN,wants,assurances,China,US,will,used,proxy,rivalry
99	miscalculation,overestimation,ability,manipulate,pit,ASEAN,members,China	makes,trio,statement,seem,attempt,save,face
100	management,service,capacity	bidder,Ausgrid
101		lingering,issues,heat,time,time,security,challenges,appear
102	Spain,colonized,centuries,U.	think,Philippines,reasons,past,tended,Spain
103	formality	voyages,raise,eyebrows
104	leaders,adhered,doctrine,concentration,construction,development,decades	made
105	China,protest,butbecause	time
106	US,resorting,repeated,provocations,China,South,China,Sea,risks,becoming,hotbed,China,US,confrontation,flashpoint,rising,US,operations,increase,possibility,encounters,countries,air,forces,navies,could,turn	misjudgment,accident
107	challenges,facing,administration	trying,figure,lessons,can,learn,experience,would,alleviating,poverty,Philippines
108	attempt,build,sphere,influence,may	confrontation,conflict
109	contradiction,China,stance,participating,accepting,arbitration,recognizing,honoring,ruling	suggestion,China,should,accept,arbitration,ruling,negotiate,will,run,stonewall
110	fear,would,reveal,truths	journalists,trying,prevent,US,Navy,investigating,accidents
111	ties,jeopardized,arbitration,case,initiated,Duterte,predecessor,Benigno,Aquino,III	envoy,President,Rodrigo,Duterte,Ramos,defined,trip,ice,breaking
112	country,decision,accept,implement,line,UNCLOS,should,respected	tribunal,ruling,will,impact,China
113	basis,development,progress,years	countries,should,cherish,won,environment,region
114	asked,supported,posture,China	confirmation,hearing,US,Congress,Wednesday,Tillerson,Exxon,Mobil,chairman,CEO,said,China,access,islands,going,allowed
115	ASEAN,foreign,ministers,meeting,Tuesday,Philippine,Foreign,Secretary,Perfecto,Yasay,said,South,China,Sea,issue,sum,total,relations,Philippines,China,Philippines,decided,focus,picture,relations,China	news,conference
116	developed,bomb	Princeton,worked,dissertation,examining,strategy,found,people,leader,Mao,Zedong,talked,became
117	helps,promoting,relations,helps,giving,expression,Belt,Road,Initiative	helps,connectivity
118	Thursday,Trump,talked,phone,leaders,Xi,fueling,concerns,absence,contact,leaders,could	renewed,tensions,China,US,ties
119	years,estrangement	blood,Beijing,Manila,begun,give,place,faith,Philippine,President,Rodrigo,Duterte,embarks,ice,breaking,trip,China,Tuesday
120	G7,summit,saying,interfered,East,China,Sea,South,China,Sea,issues,guise,law,Foreign,Ministry,spokesperson,Lu,Kang,said,Sunday	China,denounced,communique,released
121	state,visit,October,improved,China,ties	Beijing,Manila,agree,manage,issue,consultation,Philippine,President,Rodrigo,Duterte,expected,visit,China,attend,summit
122	will	Beijing,stick,stance,acknowledging,accepting,let,implementing,tribunal,ruling
123	diplomat,refused,China,proposal,put,ruling,arbitration,case,concerning,South,China,Sea	Beijing,urged,Manila,walk,path
124	arbitration,ruling,announced	Beijing,issued,statements
125	ruling,Hague	Beijing,issued,statements
126	US,administration,President,Donald,Trump,hinted,would,take,stance,South,China,Sea	Beijing,says,will,protect,territory,Trump,administration,threats,maritime,disputes,China,called,United,States,Jan,respect,facts,speak,behave,caution
127	US,administration,President,Donald,Trump,hinted,would,take,stance,South,China,Sea	Beijing,says,will,protect,territory,Trump,administration,threats,maritime,disputes,China,called,United,States,Tuesday,respect,facts,speak,behave,caution
128	exceeded,abused,powers,dealing,case,jurisdiction	Beijing,should,keep,eye,countries,put,pressure,accept,tribunal,ruling,take,measures,challenge,tribunal
129	Duterte,assumed,office,June	Beijing,relations,Manila,made,U,-,turn
130	removal,National,Security,Council,April,advisor,US,president,banished,circle,trend,history	forced,hear,line,fired,leave,stronghold,Washington
131	ups,downs,past	marked,Li,visit,ties,track
132	border,standoff,Donglang,Doklam,year	Prime,Minister,Narendra,Modi,summit,President,Xi,Wuhan,Central,China,Hubei,province,month,signaled,warming,relations
133	latter,growing,buildup	Japan,maintains,vigilance,China
134	meeting	boost,trust,deepen,cooperation,manage,control,differences,way,President,Xi,Jinping,told,US,National,Security,Advisor,Susan,Rice,according,news,release,issued
135	talks,leaders	sides,agreed,visit,President,Xi,Brunei,importance,deepening,relations,said,statement,issued
136	sides,views,COC,will,process	
137	maneuverings,instigations,powers,administration,president,Benigno,Aquino,III,used,tools,make,gains	
138	policies,countries,created,uncertainties	China,Vietnam,relations,face,challenges,instance
139	aircraft,submarine,vessels,force	compared,standards,countries,navies,China,strength
140	arbitration,China,may,rely,right,self,defense,keep,vessels,disputed,waters,Gau,said,adding,allowing,Philippines,vessels,approach,option,China,regards,matter,maintaining,integrity	
141	years	story,can,told,drawing,imagination,intrigues
142	sides,would,fight,advantages	war,breaks,sides,will
143	Sept,debate,conducted,Weibo,China,Twitter,microblogging,website,tables,turned,percent,respondents,thought,Clinton,won,debate,percent,said,Trump,won,debate,according,research,report,David,Dollar,Wang,Wei,Brookings	poll
144	procedures,will,dispel,accusations,China,acting	measures,needed
145	tribunal,passed,ruling,case,initiated,Philippines,China,South,China,Sea,dispute,Foreign,Minister,Julie,Bishop,told,ABC,Radio,China,reputation,would,suffer,ignores,ruling,called,Beijing,Manila,respect	day
146	Cold,War,mindset,resorted,measures,contain,China,rise	US,mistaken,China,stability,growing,military,threat
147	want,Washington,allies,Asia,believe,US,accepted,China,equal	Obama,beating,concept
148	China,counter,measures	arbitration,proved,farce
149	ruling,biased	ground,claim
150	ICC,plays,role,Britain,jurisdiction	soldiers,committed,crimes,Iraq,will,stand,trial,home,ICC,remains
151	democracy,style,preferred,others	China,acts,told,should
152	Beijing,claiming,safeguarding,law,basing,position,accordance,law,foundations	
153	leaving,military,Youth,takes,course,films	focusing,youths,humanity,life,love,freedom,struggle,make,ends,meet
154	conversations	called,increase,trust,countries
155	US,President,Donald,Trump,sworn,sent,message,Trump,may,inherit,president,Barack,Obama,Asia,pivot,strategy	Carl,Vinson,navigation,South,China,Sea,time
156	meeting,Wang,develop,ties,Beijing,Manila,seek,exploration,resources,benefit,people,nations	Cayetano,said,news,conference
157	ties,jeopardized,arbitration,case,South,China,Sea,dispute	China,Philippines,agreed,restart,commission,commerce,trade,increase,trade,countries
158	Brexit,act,harms,China,core,interests,will,put,spanner,works	China,UK,agreed,explore,possibility,discussing,trade,agreement
159	define,ties	China,US,parts,should,exercise,restraint,seek,ways,reach,compromise,South,China,Sea,issue
160	China,asserts,distinction,difference,sovereignty,issue	court,jurisdiction,China,bargain,sovereignty
161	China,asserts,distinction,difference,sovereignty,issue	tribunal,jurisdiction,China,bargain,sovereignty
162	Philippines,said,people,fish,days	China,confirmed,Monday,fishermen,allowed,access,Huangyan,Island,arrangement,based,Beijing,friendship,Manila
163	ruling,described,award,tribunal,initiated,case,South,China,Sea	China,accept,party,trying,impose,settlement,solution,forced,China,Foreign,Ministry,said,statement,issued,Tuesday
164	sea,lanes,life,lines,China,countries,region	China,stands,freedom,navigation,South,China,Sea
165	counterparts,ASEAN,nations,approved,framework,COC	China,proposed,step,vision,step,consultations,Code,Conduct,COC,South,China,Sea,Foreign,Minister,Wang,Yi,said,Sunday
166	award,announced	China,accepts,recognizes,ministry,said,statement
167	publication,award	China,accepts,recognizes,ministry,said,statement
168	United,States,United,Kingdom,percent,growth	China,ranks,attracting,students
169	lack,precedents,world	China,refused,participate,accept,kind,arbitration
170	President,Rodrigo,Duterte,said,Tuesday,expects,talks,China,South,China,Sea,dispute,year	China,said,Thursday,expects,talks,held,Beijing,Manila,date
171	President,Rodrigo,Duterte,said,Tuesday,talks,South,China,Sea,dispute,year	China,said,Thursday,expects,talks,held,Beijing,Manila,date
172	Council,European,Union,voiced,EU,acknowledgement,South,China,Sea,arbitration,ruling	China,urged,European,Union,words,actions,South,China,Sea,issue
173	crisis,avoid,called,income,trap,shift,economy,model,driven,exports,debt,fueled,investment,model,driven,consumption,innovation,moving,supply,chain	China,rebalancing,started
174	assumes,office,January	China,US,relations,becoming,may,undergo,transition,Trump,unveils,agenda,months
175	having,achieved,success,halt,advance,consolidate,gains	China,achievements,neighborhood,diplomacy,reflect,China,ascent,Carl,von,Clausewitz,described,culminating,point,victory,moment,battle,attacking,force
176	Pacific,drill,January,13th	aircraft,carrier,Liaoning,returns,Qingdao,China
177	meeting,Foreign,Minister,counterparts,ASEAN,members,Vientiane,Laos,July	Foreign,Minister,Wang,Yi,attends,press,conference
178	talks,Canberra,Australia,March	Premier,Li,Keqiang,counterpart,Malcolm,Turnbull,speak,press,conference
179	disputes,tensions,relating,Korean,Peninsula	coordination,forces,will,put,position,respond,threats,crisis,region,unsettled
180	Aquino,III,policy,allowing,Washington,use,Manila,chess,piece,pivot,Asia,strategy,created,sense,insecurity,Philippines	Compared,US,China,policy,-,interference,countries,affairs,could,reason,Duterte,stance
181	Suzhou,Industrial,Park,Tianjin,Eco,City,helping,drive,growth,China,developed,region,transport,financing,data,connectivity	Cooperation,framework,initiative,borne,fruits,Chongqing,Demonstration,Initiative,Strategic,Connectivity,third,government,government,projects
182	Suzhou,Industrial,Park,Tianjin,Eco,City,helping,drive,growth,China,developed,region,transport,financing,data,connectivity	Cooperation,framework,initiative,borne,fruits,Chongqing,Demonstration,Initiative,Strategic,Connectivity,third,government,government,projects
183	perception,will	actions
184	predecessor,Benigno,Aquino,III,worsened,ties,China	day,trip,China,October,Duterte,resumed,Manila,relationship,Beijing
185	tribunal,Hague,ruled,Beijing,rights,South,China,Sea,case,brought,administration,Manila,marks,reversal,policy,mayor,took,office,June	Duterte,efforts,engage,China,months
186	Cabinet,president,Aquino,Benigno,III,filed,case,tribunal,South,China,Sea	Duterte,took,office,July,faced,repairing,ties,Beijing
187	released,month,following,month,delay	Editor,Note,director,Feng,Xiaogang,film,Youth,reflects,China,Vietnam,war,earned,ratings
188		Emerging,economies,China,parties,effort,respond,world,chaos,spread,US,Europe
189	arbitration,ruling,China,retains,faith,solution,will,welcome,negotiation	
190	Canberra,chose,side,Washington,Beijing,South,China,Sea,dispute	Sino,Australia,Free,Trade,Agreement,result,years,negotiations,comes,effect,months,investments,Australia,will,remain,issue
191	standing,way,elephant,using,piece,string	encirclement,created,could,work
192	John,Russell,North,Head,Communications,admitted,debate,Canberra,role,South,China,Sea,contribution,Washington,stance,issue	Explanations,Australia,relies,shipping,lanes,South,China,Sea,justify,involvement,disputes,seem
193	will,help,promote,trust,confidence	Exploring,channels,benefit,Enhancing,cooperation,can,seen,type,CBM
194	hour,meeting,Duterte,Marco,Polo,Hotel,Philippines	"Fidel,Ramos,president,steered,country,crisis""I,cleared,doctors,Makati,Medical,Center,website,quoted,Ramos,saying,Davao,City"
195	ruling,concerns,sovereignty,issues,issues,sovereignty,scope,UNCLOS,United,Nations,Convention,Law,Sea,tribunal,ruling,jurisdiction	
196	China,country,civilization	China,emerging,power
197	testing,type,missile,Feb	example,Monday,Democratic,People,Republic,Korea,test,fired,missiles
198		example,terrorism,attacks,occurred
199	country,opened,visa,centers,China	example,visa,applications,Czech,Republic,cities,jumped,fivefold,January,June
200	year,hiatus	ministers,countries,will,meet,Tokyo,Wednesday,morning,mechanism,resumed,March,year
201	US,Vice,President,Mike,Pence,accused,Beijing,meddling,politics	Chinese,Foreign,Ministry,said,Friday,Washington,characterize,exchanges,China,interference
202	US,administration,President,Donald,Trump,hinted,would,take,stance,South,China,Sea	Foreign,Ministry,says,determination,protect,territory,will,China,called,United,States,Tuesday,respect,facts,speak,behave,caution
203	World,War,II,prevailing,Cold,War,era,US,alliances,bear,features,inequality,exclusiveness,outdated	Forged
204	ties,jeopardized,arbitration,case,South,China,Sea,dispute	president,Fidel,Ramos,said,Friday,friends,looked,starting,discussions
205	tribunal,ruled,favor,Manila,South,China,Sea,dispute,Beijing,month	president,Ramos,visit,Hong,Kong,meet,friends,including,diplomat,Fu,Ying,start,ease,tensions
206	Hague,court,ruling,dispute,South,China,Sea,August	president,HK,visit,marks,effort,mend,damaged,relationsFormer,Philippine,President,Fidel,Ramos,gestures,speaks,journalists,trip,Hong,Kong,China
207	completion	beginning,1980s,North,Korea,started,construct,uranium,graphite,gas,cooled,reactor,would,produce,kilograms,pounds,weapons,grade,plutonium,year
208	nation,caused,harm,others	Fu,said,need,countries,take,caution,China,defense,measures
209	asking,questions	Goldstein,thought,Friedberg,served,deputy,assistant,security,affairs,office,Vice,-,President,Dick,Cheney
210	school,needed,China,experts	Goldstein,started,work,Sept,day,Sept,attacks,World,Trade,Center,New,York,said,crisis,helped,land,job
211	North,Korea,test,January,China,control,North,Korea,China,solve,problem,should,make,trade,China	said
212	North,Korea,test,January,China,control,North,Korea,China,solve,problem,should,make,trade,China	said
213	draft,completed	said,progress,phase,negotiation,Code,Conduct,South,China,Sea,adding,work,will,come
214	attending,opening,ceremony,China,ASEAN,Expo,Sunday,Nanning,capital,Guangxi,Zhuang,region	arrived,Beijing,Sept
215	China,regards	hoped,country,will,take,ruling,make,claims,based,decision
216	meeting,officials,China,ASEAN,member,countries	made,remarks,news,conference
217	meeting,counterpart,Julie,Bishop,Tuesday,Canberra,capital	made,remarks,news,conference
218	discussions,lasting,years	noted,leaders,countries,decided,exploration,South,China,Sea,breakthroughs,achieved
219	become,grown,things,done	proposed,separating,track,track
220	Japan,surrender	said,Japan,should,history,South,China,Sea,issue,islands,taken,Japan,World,War,II,returned,China
221	live,region	urged,Philippines,role,called,allies,powers,come,go,neighbors
222	live,region	urged,Philippines,consider,regard,called,allies,powers,come,go,neighbors
223	live,region	urged,Philippines,consider,regard,called,allies,superpowers,come,go,neighbors
224	country,interests	wants,independence
225	Theresa,May,replaced,David,Cameron,minister	appointed
226	president,Rodrigo,Duterte,took,office,months	responding,question,warming,relationship,China,Philippines
227	Duterte,took,office	change,position,matter,time,time,ripened
228	Beijing,rejected,July,arbitration,ruling,case,brought,Philippines	visit,came,tensions,South,China,Sea
229	predecessor,Benigno,Aquino,III,soured,relationship,China,Philippines,siding,United,States,initiate,proceedings,Beijing,maritime,dispute,South,China,Sea	remarks,Manila,Washington,alliance,Duterte,made,efforts,visit,China,put,Beijing,Manila,ties,track
230	lack,experience,confidence,bring,uncertainties,could,cause,frustration,might	
231	talk,election,campaign	policy,remains
232	leadership,reshuffle,Vietnam,July	day,China,visit,becoming,prime,minister
233	government,Ministry,Foreign,Affairs,issued,statements,China,sovereignty,rights,interests,South,China,Sea,award,arbitration,tribunal	speech,came
234	trade,deal,came,effect,end,year	stay,power,could,omen,China,Australia,ties,gathered,momentum
235	completion,investigation	Hong,Kong,customs,officials,announced,Tuesday,vehicles,seized,months,will,returned
236		could,divide,distance,give
237	evaluation,U.	
238	Tillerson,McMaster,forced,leave,Mattis,sidelined	
239	decades,growth,world,led,US,consider,growing,China,could,fit,shrinking,world	
240	country,remembers,years,humiliation,aftermath,Opium,Wars,sign,narrative,targeting,West,Japan	
241	China,growing,influence,region,Japan,ramping,efforts,oppose,China,issues	ties,China,result,dispute,concerns,having,lost,status
242	war,South,U.	speaking,presence,Peninsula
243	will,cast,shadow,China,US,relations	think
244	Trump,unpredictability,opinions,Cabinet	Li,said,remained,question,Washington,would,follow,Tillerson,proposal
245	Trump,unpredictability,opinions,Cabinet	Li,said,remained,seen,Washington,would,follow,Tillerson,proposal
246	Saudi,Arabia,began,promoting,family,member,branch,family,ousted,palace,coup	move,came,days
247	China,will,accept,said	Philippines,should,use,ruling,bargain,chip,negotiation
248	leaders,China,ASEAN,member,states,vowed,ease,tensions,South,China,Sea,deepen,cooperation	harbored,feelings,disappointed
249	Trump,administration,include,Taiwan,Washington,rebalancing,Asia,Pacific,strategy,could	dreaded,standoff,China,US
250	horrifying,news,reached,Tokyo,declared,would,sacrifice,people,defend,holy,land	military,said,bomb,destroyed,Hiroshima,matter
251	experts,returned	North,Korea,water,reactor
252	winning,war,Hanoi,adopted,stance	
253	meeting,Wang,counterparts,ASEAN,member,countries,China,ASEAN,reaffirmed,efforts,promote,peace,stability,trust,confidence,South,China,Sea	statement,issued
254	rule,possibility,party,intervention	statement,justifying,jurisdiction,Philippines,case,tribunal,separated,country,interests,sovereignty,questioning,validity,agreements
255	decades,development,companies,competing,businesses,competitors,given,rise,sophistication,maturity	addition
256	turmoil,aggression,group,Chinese,pushed,Hundred,Days,Reform	Year,Dog,years,China
257	doing,China,Philippines,reached,consensus,including,settle,negotiation,disputes,South,China,Sea,exercise,restraint,handling,disputes,refrain,taking,actions,may	escalation,commit,pursuing,maritime,cooperation,development,disputes,should,affect,growth,relations,peace,stability,South,China,Sea,region
258	taking,office,Trump,proposed,U.	address,Congress
259	climate,stage,funding,Beijing,cost,living	Top,Tech,Cities,World,ranking,report,released,November,Expert,Market,business,resources,company,gave,Zhongguancun,tech,hub,top,spot
260	visiting,Washington,received,U.	July,Dai,Bingguo,vice,minister,China,association,North,Koreans,visited,North,Korea
261	arbitration,tribunal,passed,verdict,support,Philippines,China,dispute,involving,South,China,Sea,groups,people,Hebei,province,blocked,doors,KFC,outlets,shouted,slogans,brand,China	July
262	takes,office,January,line,statements,election,campaign	Lei,opinion,Trump,promote,trade,protectionism
263	meeting	Monday,meeting,ASEAN,countries,responded,start,negotiations,according,news,release
264	factors	years,relations,suffered,setback
265	disputes	regard,South,China,Sea,situation,Cayetano,said,sides,China,given,relationship,ASEAN,will,disturbed
266	disputes	regard,South,China,Sea,situation,Cayetano,said,sides,China,given,relationship,ASEAN,will,disturbed
267	World,War,II,recognized,China,sovereignty,South,China,Sea	response,Cheng,said,number,treaties,conventions,signed
268	World,War,II,recognized,China,sovereignty,South,China,Sea	response,Cheng,says,number,treaties,conventions,signed
269	issue,demarcation,included,Philippines,claims	arbitration,South,China,Sea,tribunal,held,Philippines,pretending,claims,refer,interpretation,UNCLOS
270	Xi,visit	case,Philippines,Macaranas,said,country,interest,BRI,needs,viewed,perspective,cooperation,formed
271	cut,relations,soured	past,exchanges,aspect,China,US,relations
272	sea,thanks,US,meddling,become	South,China,Sea,issue,choice,Australia,would,stay
273	signing,China,Japan,Treaty,Peace,Friendship,sides,experienced,relations	years,following,normalization,ties
274	profile,leader,visit,mainland,stage,could,unnerve,US,Japan,could,backfire	context,Ramos,visit,Hong,Kong,made,sense
275	acts,purveyor,presence,strategy	making,effort,maintain,US,hegemony,region,Krejci,said
276	acts,purveyor,presence,strategy	making,effort,maintain,US,hegemony,region
277	interests	analysts,abandoned,thinking,connect,world,class,company,project,Australia,hacker,attack,Ukraine－purportedly,Russia,linked,hackers－which,US,officials,called,nightmare,scenario
278	Tokyo,sought,meddle,play,South,China,Sea,disputes,China,ASEAN,member,states	become
279	Duterte,visit,China,host,President,Xi,Jinping,witnessed,signing,cooperation,deal	Interactions,leaderships,starters,resume
